k,n,m,alpha,sift_up,sift_down,r_up,r_down,insert,deletemin,update,i,d,u,noshita_expected,Algo_Time_ms
3,250000,500000,1.056,59474,2373888,0.020,0.784,250000,250000,17547,1.000,1.000,0.035,173286.795,111.361
4,250000,500000,1.056,42531,1918341,0.018,0.800,250000,250000,17332,1.000,1.000,0.035,173286.795,113.068
5,250000,500000,1.056,33409,1677302,0.016,0.812,250000,250000,17368,1.000,1.000,0.035,173286.795,110.483
8,250000,500000,1.056,20700,1314242,0.013,0.823,250000,250000,17318,1.000,1.000,0.035,173286.795,109.076
16,250000,500000,1.056,10642,1015274,0.009,0.847,250000,250000,17482,1.000,1.000,0.035,173286.795,112.487
2,250000,500000,1.056,121342,3616760,0.025,0.754,250000,250000,17448,1.000,1.000,0.035,173286.795,122.541
3,250000,500000,1.056,59786,2371291,0.020,0.784,250000,250000,17425,1.000,1.000,0.035,173286.795,112.481
4,250000,500000,1.056,42104,1918585,0.018,0.800,250000,250000,17375,1.000,1.000,0.035,173286.795,112.244
5,250000,500000,1.056,33124,1675157,0.016,0.812,250000,250000,17178,1.000,1.000,0.034,173286.795,109.291
8,250000,500000,1.056,20485,1315616,0.013,0.823,250000,250000,17365,1.000,1.000,0.035,173286.795,109.474
16,250000,500000,1.056,10698,1014336,0.009,0.846,250000,250000,17312,1.000,1.000,0.035,173286.795,111.324
2,250000,500000,1.056,121721,3617872,0.025,0.755,250000,250000,17384,1.000,1.000,0.035,173286.795,119.022
3,250000,500000,1.056,59518,2369937,0.020,0.784,250000,250000,17191,1.000,1.000,0.034,173286.795,112.039
4,250000,500000,1.056,42300,1917196,0.018,0.800,250000,250000,17196,1.000,1.000,0.034,173286.795,112.849
5,250000,500000,1.056,32923,1674842,0.016,0.812,250000,250000,17200,1.000,1.000,0.034,173286.795,109.44
8,250000,500000,1.056,20624,1314896,0.013,0.823,250000,250000,17288,1.000,1.000,0.035,173286.795,109.272
16,250000,500000,1.056,10495,1014722,0.009,0.847,250000,250000,17337,1.000,1.000,0.035,173286.795,109.708
2,250000,500000,1.056,120475,3621593,0.025,0.755,249999,249999,17526,1.000,1.000,0.035,173286.795,117.535
3,250000,500000,1.056,60051,2370812,0.020,0.784,249999,249999,17361,1.000,1.000,0.035,173286.795,112.134
4,250000,500000,1.056,42647,1919614,0.018,0.800,249999,249999,17485,1.000,1.000,0.035,173286.795,112.101
5,250000,500000,1.056,33424,1676756,0.016,0.812,249999,249999,17401,1.000,1.000,0.035,173286.795,109.454
8,250000,500000,1.056,20735,1315866,0.013,0.823,249999,249999,17373,1.000,1.000,0.035,173286.795,110.059
16,250000,500000,1.056,10614,1015161,0.009,0.847,249999,249999,17406,1.000,1.000,0.035,173286.795,110.902
2,250000,500000,1.056,121671,3617426,0.025,0.754,249999,249999,17415,1.000,1.000,0.035,173286.795,118.044
3,250000,500000,1.056,60004,2373170,0.020,0.784,249999,249999,17523,1.000,1.000,0.035,173286.795,111.754
4,250000,500000,1.056,42303,1916156,0.018,0.800,249999,249999,17207,1.000,1.000,0.034,173286.795,111.08
5,250000,500000,1.056,32940,1675796,0.016,0.811,249999,249999,17407,1.000,1.000,0.035,173286.795,110.453
8,250000,500000,1.056,20517,1315614,0.013,0.823,249999,249999,17504,1.000,1.000,0.035,173286.795,117.205
16,250000,500000,1.056,10654,1015093,0.009,0.847,249999,249999,17432,1.000,1.000,0.035,173286.795,118.573
2,250000,500000,1.056,120972,3618098,0.025,0.755,250000,250000,17406,1.000,1.000,0.035,173286.795,116.907
3,250000,500000,1.056,59864,2371821,0.020,0.784,250000,250000,17446,1.000,1.000,0.035,173286.795,111.619
4,250000,500000,1.056,42788,1918935,0.018,0.800,250000,250000,17413,1.000,1.000,0.035,173286.795,111.921
5,250000,500000,1.056,32941,1677000,0.016,0.812,250000,250000,17433,1.000,1.000,0.035,173286.795,109.278
8,250000,500000,1.056,20226,1316016,0.013,0.823,250000,250000,17420,1.000,1.000,0.035,173286.795,108.603
16,250000,500000,1.056,10736,1015595,0.009,0.847,250000,250000,17472,1.000,1.000,0.035,173286.795,109.612
2,250000,500000,1.056,121764,3620264,0.025,0.754,249997,249997,17622,1.000,1.000,0.035,173286.795,127.153
3,250000,500000,1.056,60271,2374168,0.020,0.784,249997,249997,17519,1.000,1.000,0.035,173286.795,112.059
4,250000,500000,1.056,42188,1917190,0.018,0.800,249997,249997,17261,1.000,1.000,0.035,173286.795,110.909
5,250000,500000,1.056,33406,1677011,0.016,0.812,249997,249997,17412,1.000,1.000,0.035,173286.795,111.18
8,250000,500000,1.056,20523,1316225,0.013,0.824,249997,249997,17378,1.000,1.000,0.035,173286.795,109.34
16,250000,500000,1.056,10857,1015001,0.009,0.847,249997,249997,17383,1.000,1.000,0.035,173286.795,110.399
2,250000,500000,1.056,120503,3615411,0.025,0.754,250000,250000,17350,1.000,1.000,0.035,173286.795,116.893
3,250000,500000,1.056,59476,2370021,0.020,0.784,250000,250000,17321,1.000,1.000,0.035,173286.795,113.11
4,250000,500000,1.056,42306,1918046,0.018,0.800,250000,250000,17425,1.000,1.000,0.035,173286.795,111.167
5,250000,500000,1.056,33146,1677138,0.016,0.812,250000,250000,17530,1.000,1.000,0.035,173286.795,125.252
8,250000,500000,1.056,20474,1316545,0.013,0.823,250000,250000,17565,1.000,1.000,0.035,173286.795,107.825
16,250000,500000,1.056,10340,1014212,0.009,0.847,250000,250000,17192,1.000,1.000,0.034,173286.795,110.601
2,250000,500000,1.056,120305,3616447,0.025,0.754,250000,250000,17379,1.000,1.000,0.035,173286.795,119.843
3,250000,500000,1.056,59804,2375179,0.020,0.784,250000,250000,17733,1.000,1.000,0.035,173286.795,112.015
4,250000,500000,1.056,42731,1918847,0.018,0.800,250000,250000,17434,1.000,1.000,0.035,173286.795,110.805
5,250000,500000,1.056,33380,1678816,0.016,0.812,250000,250000,17710,1.000,1.000,0.035,173286.795,110.077
8,250000,500000,1.056,20231,1316149,0.013,0.823,250000,250000,17534,1.000,1.000,0.035,173286.795,109.333
16,250000,500000,1.056,10785,1015233,0.009,0.847,250000,250000,17465,1.000,1.000,0.035,173286.795,115.249
2,250000,500000,1.056,121111,3616894,0.025,0.755,250000,250000,17272,1.000,1.000,0.035,173286.795,119.335
3,250000,500000,1.056,59689,2372724,0.020,0.784,250000,250000,17367,1.000,1.000,0.035,173286.795,113.098
4,250000,500000,1.056,42420,1918891,0.018,0.800,250000,250000,17461,1.000,1.000,0.035,173286.795,111.873
5,250000,500000,1.056,33498,1677816,0.016,0.812,250000,250000,17489,1.000,1.000,0.035,173286.795,108.953
8,250000,500000,1.056,20434,1316332,0.013,0.823,250000,250000,17495,1.000,1.000,0.035,173286.795,109.496
16,250000,500000,1.056,10747,1014669,0.009,0.847,250000,250000,17350,1.000,1.000,0.035,173286.795,110.959
2,250000,2500000,1.185,525998,7751607,0.060,0.883,250000,250000,239430,1.000,1.000,0.096,575646.273,455.28
3,250000,2500000,1.185,281731,5021413,0.051,0.906,250000,250000,239959,1.000,1.000,0.096,575646.273,415.775
4,250000,2500000,1.185,196249,4022891,0.045,0.916,250000,250000,240057,1.000,1.000,0.096,575646.273,404.2
5,250000,2500000,1.185,154105,3521817,0.041,0.931,250000,250000,240061,1.000,1.000,0.096,575646.273,409.319
8,250000,2500000,1.185,97593,2741020,0.033,0.936,250000,250000,239698,1.000,1.000,0.096,575646.273,408.436
16,250000,2500000,1.185,52719,2166732,0.024,0.987,250000,250000,239702,1.000,1.000,0.096,575646.273,429.52
2,250000,2500000,1.185,526108,7750999,0.060,0.883,250000,250000,239434,1.000,1.000,0.096,575646.273,419.634
3,250000,2500000,1.185,281451,5018599,0.051,0.906,250000,250000,239773,1.000,1.000,0.096,575646.273,406.056
4,250000,2500000,1.185,196928,4018751,0.045,0.915,250000,250000,239643,1.000,1.000,0.096,575646.273,445.971
5,250000,2500000,1.185,154122,3521028,0.041,0.931,250000,250000,239954,1.000,1.000,0.096,575646.273,402.327
8,250000,2500000,1.185,97143,2743391,0.033,0.937,250000,250000,239995,1.000,1.000,0.096,575646.273,402.713
16,250000,2500000,1.185,52893,2169003,0.024,0.987,250000,250000,240033,1.000,1.000,0.096,575646.273,408.299
2,250000,2500000,1.185,528539,7751655,0.060,0.883,250000,250000,239502,1.000,1.000,0.096,575646.273,459.502
3,250000,2500000,1.185,282348,5023085,0.051,0.906,250000,250000,240113,1.000,1.000,0.096,575646.273,456.28
4,250000,2500000,1.185,196971,4023860,0.045,0.915,250000,250000,240228,1.000,1.000,0.096,575646.273,404.052
5,250000,2500000,1.185,155266,3529625,0.041,0.931,250000,250000,241066,1.000,1.000,0.096,575646.273,409.838
8,250000,2500000,1.185,97932,2746759,0.033,0.937,250000,250000,240511,1.000,1.000,0.096,575646.273,421.474
16,250000,2500000,1.185,52687,2171211,0.024,0.987,250000,250000,240549,1.000,1.000,0.096,575646.273,417.693
2,250000,2500000,1.185,529755,7758350,0.060,0.883,250000,250000,239773,1.000,1.000,0.096,575646.273,416.13
3,250000,2500000,1.185,281549,5024454,0.051,0.906,250000,250000,240173,1.000,1.000,0.096,575646.273,422.291
4,250000,2500000,1.185,196616,4022337,0.045,0.915,250000,250000,240096,1.000,1.000,0.096,575646.273,404.666
5,250000,2500000,1.185,154446,3521785,0.041,0.931,250000,250000,239986,1.000,1.000,0.096,575646.273,404.589
8,250000,2500000,1.185,97434,2739340,0.033,0.936,250000,250000,239398,1.000,1.000,0.096,575646.273,402.317
16,250000,2500000,1.185,52233,2165579,0.024,0.987,250000,250000,239395,1.000,1.000,0.096,575646.273,444.956
2,250000,2500000,1.185,527877,7759403,0.060,0.883,250000,250000,239818,1.000,1.000,0.096,575646.273,439.113
3,250000,2500000,1.185,280682,5009286,0.051,0.906,250000,250000,238937,1.000,1.000,0.096,575646.273,406.718
4,250000,2500000,1.185,195885,4022818,0.045,0.915,250000,250000,240103,1.000,1.000,0.096,575646.273,443.613
5,250000,2500000,1.185,155610,3518570,0.041,0.931,250000,250000,239629,1.000,1.000,0.096,575646.273,404.157
8,250000,2500000,1.185,97580,2743946,0.033,0.937,250000,250000,240054,1.000,1.000,0.096,575646.273,401.058
16,250000,2500000,1.185,52721,2169585,0.024,0.987,250000,250000,240314,1.000,1.000,0.096,575646.273,455.761
2,250000,2500000,1.185,527740,7758581,0.060,0.883,250000,250000,239879,1.000,1.000,0.096,575646.273,450.39
3,250000,2500000,1.185,281703,5025653,0.051,0.906,250000,250000,240364,1.000,1.000,0.096,575646.273,416.917
4,250000,2500000,1.185,196310,4021498,0.045,0.915,250000,250000,239972,1.000,1.000,0.096,575646.273,451.146
5,250000,2500000,1.185,154490,3525023,0.041,0.931,250000,250000,240508,1.000,1.000,0.096,575646.273,410.791
8,250000,2500000,1.185,96945,2740666,0.033,0.937,250000,250000,239575,1.000,1.000,0.096,575646.273,403.711
16,250000,2500000,1.185,52641,2164978,0.024,0.987,250000,250000,239249,1.000,1.000,0.096,575646.273,456.852
2,250000,2500000,1.185,528603,7767779,0.060,0.884,250000,250000,240280,1.000,1.000,0.096,575646.273,445.361
3,250000,2500000,1.185,281046,5021260,0.051,0.906,250000,250000,239971,1.000,1.000,0.096,575646.273,406.929
4,250000,2500000,1.185,196738,4021147,0.045,0.915,250000,250000,239924,1.000,1.000,0.096,575646.273,451.181
5,250000,2500000,1.185,154674,3518067,0.041,0.931,250000,250000,239524,1.000,1.000,0.096,575646.273,434.318
8,250000,2500000,1.185,98198,2742864,0.034,0.937,250000,250000,239972,1.000,1.000,0.096,575646.273,402.52
16,250000,2500000,1.185,53106,2169302,0.024,0.987,250000,250000,240176,1.000,1.000,0.096,575646.273,412.818
2,250000,2500000,1.185,526603,7755945,0.060,0.883,250000,250000,239744,1.000,1.000,0.096,575646.273,442.944
3,250000,2500000,1.185,281859,5024578,0.051,0.906,250000,250000,240230,1.000,1.000,0.096,575646.273,429.036
4,250000,2500000,1.185,195910,4027836,0.045,0.916,250000,250000,240649,1.000,1.000,0.096,575646.273,425.861
5,250000,2500000,1.185,155404,3523830,0.041,0.931,250000,250000,240316,1.000,1.000,0.096,575646.273,403.17
8,250000,2500000,1.185,97806,2748637,0.033,0.937,250000,250000,240874,1.000,1.000,0.096,575646.273,400.685
16,250000,2500000,1.185,52822,2169567,0.024,0.987,250000,250000,240245,1.000,1.000,0.096,575646.273,423.318
2,250000,2500000,1.185,523926,7750728,0.060,0.883,250000,250000,239403,1.000,1.000,0.096,575646.273,416.58
3,250000,2500000,1.185,282316,5014835,0.051,0.906,250000,250000,239340,1.000,1.000,0.096,575646.273,408.221
4,250000,2500000,1.185,196500,4022434,0.045,0.915,250000,250000,240064,1.000,1.000,0.096,575646.273,415.737
5,250000,2500000,1.185,154172,3517268,0.041,0.931,250000,250000,239359,1.000,1.000,0.096,575646.273,413.591
8,250000,2500000,1.185,97726,2742929,0.033,0.937,250000,250000,239979,1.000,1.000,0.096,575646.273,417.152
16,250000,2500000,1.185,52741,2168353,0.024,0.988,250000,250000,239742,1.000,1.000,0.096,575646.273,418.874
2,250000,2500000,1.185,526590,7765153,0.060,0.883,250000,250000,240281,1.000,1.000,0.096,575646.273,455.516
3,250000,2500000,1.185,280801,5019972,0.051,0.906,250000,250000,239891,1.000,1.000,0.096,575646.273,415.914
4,250000,2500000,1.185,196808,4017272,0.045,0.915,250000,250000,239513,1.000,1.000,0.096,575646.273,451.422
5,250000,2500000,1.185,154317,3519335,0.041,0.931,250000,250000,239636,1.000,1.000,0.096,575646.273,407.789
8,250000,2500000,1.185,97558,2746924,0.033,0.937,250000,250000,240518,1.000,1.000,0.096,575646.273,401.761
16,250000,2500000,1.185,52451,2165266,0.024,0.987,250000,250000,239320,1.000,1.000,0.096,575646.273,411.039
2,250000,7500000,1.274,953145,11895698,0.074,0.920,250000,250000,471311,1.000,1.000,0.063,850299.345,1216.95
3,250000,7500000,1.274,509680,7678781,0.063,0.944,250000,250000,469301,1.000,1.000,0.063,850299.345,1194.4
4,250000,7500000,1.274,361016,6190954,0.056,0.959,250000,250000,470068,1.000,1.000,0.063,850299.345,1175.53
5,250000,7500000,1.274,283899,5334002,0.051,0.959,250000,250000,470408,1.000,1.000,0.063,850299.345,1170.12
8,250000,7500000,1.274,180609,4259937,0.042,0.989,250000,250000,470671,1.000,1.000,0.063,850299.345,1169.67
16,250000,7500000,1.274,97035,3257655,0.030,1.009,250000,250000,470451,1.000,1.000,0.063,850299.345,1203.38
2,250000,7500000,1.274,952657,11878593,0.074,0.920,250000,250000,470206,1.000,1.000,0.063,850299.345,1243.46
3,250000,7500000,1.274,511035,7695692,0.063,0.944,250000,250000,470756,1.000,1.000,0.063,850299.345,1186.79
4,250000,7500000,1.274,362814,6199634,0.056,0.959,250000,250000,470798,1.000,1.000,0.063,850299.345,1163.58
5,250000,7500000,1.274,286014,5338932,0.051,0.959,250000,250000,470922,1.000,1.000,0.063,850299.345,1179.96
8,250000,7500000,1.274,180172,4257035,0.042,0.989,250000,250000,470134,1.000,1.000,0.063,850299.345,1156.22
16,250000,7500000,1.274,96522,3259777,0.030,1.009,250000,250000,470966,1.000,1.000,0.063,850299.345,1181.32
2,250000,7500000,1.274,952282,11889101,0.074,0.920,250000,250000,470907,1.000,1.000,0.063,850299.345,1219.39
3,250000,7500000,1.274,510872,7699121,0.063,0.944,250000,250000,471117,1.000,1.000,0.063,850299.345,1189.52
4,250000,7500000,1.274,361346,6190079,0.056,0.959,250000,250000,469831,1.000,1.000,0.063,850299.345,1156.77
5,250000,7500000,1.274,284449,5334458,0.051,0.959,250000,250000,470450,1.000,1.000,0.063,850299.345,1163.13
8,250000,7500000,1.274,180753,4264366,0.042,0.989,250000,250000,471032,1.000,1.000,0.063,850299.345,1164.88
16,250000,7500000,1.274,97237,3254091,0.030,1.009,250000,250000,469714,1.000,1.000,0.063,850299.345,1182.67
2,250000,7500000,1.274,947883,11872847,0.073,0.920,250000,250000,470078,1.000,1.000,0.063,850299.345,1185.36
3,250000,7500000,1.274,509829,7687711,0.063,0.943,250000,250000,470227,1.000,1.000,0.063,850299.345,1166.36
4,250000,7500000,1.274,362782,6194825,0.056,0.959,250000,250000,470445,1.000,1.000,0.063,850299.345,1159.48
5,250000,7500000,1.274,284154,5331580,0.051,0.959,250000,250000,470171,1.000,1.000,0.063,850299.345,1161.83
8,250000,7500000,1.274,180715,4264051,0.042,0.989,250000,250000,471074,1.000,1.000,0.063,850299.345,1161.46
16,250000,7500000,1.274,96608,3254818,0.030,1.008,250000,250000,469940,1.000,1.000,0.063,850299.345,1180.22
2,250000,7500000,1.274,949291,11871295,0.074,0.919,250000,250000,470030,1.000,1.000,0.063,850299.345,1198.85
3,250000,7500000,1.274,509672,7687227,0.063,0.944,250000,250000,470069,1.000,1.000,0.063,850299.345,1162.52
4,250000,7500000,1.274,363924,6200656,0.056,0.959,250000,250000,470882,1.000,1.000,0.063,850299.345,1169.83
5,250000,7500000,1.274,285152,5345135,0.051,0.959,250000,250000,471630,1.000,1.000,0.063,850299.345,1165.14
8,250000,7500000,1.274,180925,4264451,0.042,0.989,250000,250000,471263,1.000,1.000,0.063,850299.345,1161.36
16,250000,7500000,1.274,96862,3257905,0.030,1.009,250000,250000,470396,1.000,1.000,0.063,850299.345,1169.17
2,250000,7500000,1.274,950266,11893603,0.073,0.920,250000,250000,471276,1.000,1.000,0.063,850299.345,1189.92
3,250000,7500000,1.274,509622,7683658,0.063,0.944,250000,250000,469742,1.000,1.000,0.063,850299.345,1163.04
4,250000,7500000,1.274,360894,6180815,0.056,0.959,250000,250000,469071,1.000,1.000,0.063,850299.345,1159.45
5,250000,7500000,1.274,283818,5324462,0.051,0.958,250000,250000,469339,1.000,1.000,0.063,850299.345,1162.41
8,250000,7500000,1.274,181171,4259926,0.042,0.989,250000,250000,470499,1.000,1.000,0.063,850299.345,1150.7
16,250000,7500000,1.274,96547,3257137,0.030,1.009,250000,250000,470109,1.000,1.000,0.063,850299.345,1172.68
2,250000,7500000,1.274,953565,11888028,0.074,0.920,250000,250000,470873,1.000,1.000,0.063,850299.345,1184.77
3,250000,7500000,1.274,511817,7696811,0.063,0.944,250000,250000,470981,1.000,1.000,0.063,850299.345,1184.82
4,250000,7500000,1.274,363812,6203172,0.056,0.959,250000,250000,471183,1.000,1.000,0.063,850299.345,1165.41
5,250000,7500000,1.274,285372,5336522,0.051,0.959,250000,250000,470686,1.000,1.000,0.063,850299.345,1170.42
8,250000,7500000,1.274,180157,4255070,0.042,0.989,250000,250000,469901,1.000,1.000,0.063,850299.345,1152.68
16,250000,7500000,1.274,96840,3257078,0.030,1.009,250000,250000,470420,1.000,1.000,0.063,850299.345,1172.4
2,250000,7500000,1.274,952891,11889741,0.074,0.920,250000,250000,470999,1.000,1.000,0.063,850299.345,1193.57
3,250000,7500000,1.274,510562,7696367,0.063,0.944,250000,250000,470975,1.000,1.000,0.063,850299.345,1170.84
4,250000,7500000,1.274,363103,6196762,0.056,0.959,250000,250000,470561,1.000,1.000,0.063,850299.345,1164.7
5,250000,7500000,1.274,284522,5331073,0.051,0.958,250000,250000,470217,1.000,1.000,0.063,850299.345,1161.87
8,250000,7500000,1.274,180717,4262901,0.042,0.989,250000,250000,471133,1.000,1.000,0.063,850299.345,1163.7
16,250000,7500000,1.274,97037,3256066,0.030,1.009,250000,250000,470013,1.000,1.000,0.063,850299.345,1178.88
2,250000,7500000,1.274,952567,11911212,0.074,0.920,250000,250000,472246,1.000,1.000,0.063,850299.345,1177.8
3,250000,7500000,1.274,509799,7691216,0.063,0.944,250000,250000,470478,1.000,1.000,0.063,850299.345,1164.83
4,250000,7500000,1.274,363067,6206226,0.056,0.959,250000,250000,471715,1.000,1.000,0.063,850299.345,1184.91
5,250000,7500000,1.274,285239,5328143,0.051,0.959,250000,250000,469615,1.000,1.000,0.063,850299.345,1159.03
8,250000,7500000,1.274,179612,4260832,0.042,0.989,250000,250000,470705,1.000,1.000,0.063,850299.345,1170.7
16,250000,7500000,1.274,97298,3262898,0.030,1.009,250000,250000,471578,1.000,1.000,0.063,850299.345,1215.26
2,250000,7500000,1.274,955434,11903031,0.074,0.920,250000,250000,471524,1.000,1.000,0.063,850299.345,1191.97
3,250000,7500000,1.274,511101,7699587,0.063,0.944,250000,250000,471118,1.000,1.000,0.063,850299.345,1164.18
4,250000,7500000,1.274,361646,6195478,0.056,0.959,250000,250000,470371,1.000,1.000,0.063,850299.345,1167.96
5,250000,7500000,1.274,285274,5334636,0.051,0.959,250000,250000,470376,1.000,1.000,0.063,850299.345,1162.63
8,250000,7500000,1.274,180155,4256718,0.042,0.989,250000,250000,470086,1.000,1.000,0.063,850299.345,1167.78
16,250000,7500000,1.274,96817,3259231,0.030,1.008,250000,250000,470919,1.000,1.000,0.063,850299.345,1179.53
